AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,CLASS
7805,437.915,209.8215,48.0221,0.9735,99.6877,0.9775,7985,0.3547,4.3693,0.5114,Basmati
7503,340.757,138.3361,69.8417,0.8632,97.74,0.966,7767,0.6637,1.9807,0.812,Arborio
5124,314.617,141.9803,46.5784,0.9447,80.7718,0.9721,5271,0.476,3.0482,0.6505,Jasmine
7990,437.085,201.4386,51.2245,0.9671,100.8622,0.9659,8272,0.6274,3.9325,0.5256,Basmati
7433,342.893,140.335,68.3927,0.8732,97.283,0.9831,7561,0.6006,2.0519,0.7944,Arborio
11648,445.527,178.4659,84.9327,0.8795,121.7813,0.9599,12135,0.566,2.1013,0.7374,Ipsala
7621,450.325,219.0981,45.2301,0.9785,98.5056,0.9718,7842,0.3398,4.8441,0.4722,Basmati
8582,367.338,146.6128,75.5406,0.857,104.532,0.974,8811,0.6423,1.9408,0.7992,Arborio
5450,320.362,139.9963,50.691,0.9321,83.3016,0.9626,5662,0.5502,2.7618,0.6673,Jasmine
6781,307.023,116.2443,74.8093,0.7654,92.9184,0.9819,6906,0.7208,1.5539,0.904,Karacadag
9656,451.287,206.7047,60.2333,0.9566,110.8801,0.9748,9906,0.5692,3.4317,0.5958,Jasmine
8460,362.862,149.4804,72.9154,0.873,103.7864,0.9822,8613,0.7673,2.0501,0.8074,Arborio
7090,401.778,190.9745,47.8482,0.9681,95.0119,0.9789,7243,0.4039,3.9913,0.5519,Basmati
6208,300.124,113.9325,70.6069,0.7848,88.906,0.9658,6428,0.763,1.6136,0.8661,Karacadag
7116,411.103,197.0442,46.7342,0.9715,95.186,0.9679,7352,0.4445,4.2163,0.5291,Basmati
6276,288.886,108.0128,74.3469,0.7254,89.3916,0.9866,6361,0.7821,1.4528,0.945,Karacadag
5832,282.75,108.9852,68.6358,0.7768,86.1715,0.9846,5923,0.7172,1.5879,0.9167,Karacadag
6628,311.431,119.7466,72.0507,0.7987,91.8642,0.9687,6842,0.7201,1.662,0.8588,Karacadag
5251,327.214,151.267,45.0754,0.9546,81.7666,0.9771,5374,0.4392,3.3559,0.6163,Jasmine
